"","date","type","team","opp","location","conf","opp_conf","pts","opp_pts","fga","oreb","to","fta","opp_fga","opp_oreb","opp_to","opp_fta","off_ppp","def_ppp","adj_o","adj_d","tempo","avg_marg","net","quad"
"33",2024-11-04,"nc","Cincinnati","Arkansas Pine Bluff","H","Big 12","SWAC",109,54,72,17,9,23,59,8,17,14,145.7,72.2,115.6,91.2,74.8,15.6038,363,"Quadrant 4"
"34",2024-11-04,"nc","Washington St.","Portland St.","H","WCC","Big Sky",100,92,57,12,21,32,68,13,15,21,124.1,114.2,117.1,121.8,80.6,2.46371,248,"Quadrant 4"
"35",2024-11-04,"nc","Rhode Island","Fairfield","H","Atlantic 10","Metro Atlantic",96,58,52,8,11,41,70,16,10,27,126.9,76.7,106.6,84.7,75.7,13.9831,315,"Quadrant 4"
"36",2024-11-04,"nc","Grand Canyon","Cal St. Fullerton","H","WAC","Big West",89,79,59,16,17,32,50,8,17,30,119.9,106.4,112.3,115.4,74.2,7.38805,324,"Quadrant 4"
"37",2024-11-04,"nc","Southern Illinois","College of Charleston","N","Missouri Valley","CAA",80,90,62,9,9,33,55,8,17,30,102.6,115.4,107.4,114.3,78,-4.44656,128,"Quadrant 3"
"38",2024-11-04,"nc","Duquesne","Lipscomb","H","Atlantic 10","Atlantic Sun",72,77,62,9,14,19,48,3,17,26,95.8,102.4,98.8,105,75.2,-9.41164,70,"Quadrant 2"
"39",2024-11-04,"nc","Illinois","Eastern Illinois","H","Big Ten","Ohio Valley",112,67,64,14,13,46,68,6,8,25,134.4,80.4,120.8,97.5,83.4,12.6149,318,"Quadrant 4"
"40",2024-11-04,"nc","Southern Miss","Bowling Green","H","Sun Belt","Mid-American",77,68,61,6,13,14,66,9,13,8,103.7,91.6,99,96.7,74.2,6.04375,286,"Quadrant 4"
"41",2024-11-04,"nc","Iowa St.","Mississippi Valley St.","H","Big 12","SWAC",83,44,59,11,12,29,51,6,24,11,112.2,59.5,94.6,77.4,74,17.7177,364,"Quadrant 4"
"42",2024-11-04,"nc","North Carolina St.","USC Upstate","H","ACC","Big South",97,66,68,14,11,21,62,17,17,27,129.5,88.1,115.7,100.5,74.9,12.109,344,"Quadrant 4"
"43",2024-11-04,"nc","Kentucky","Wright St.","H","SEC","Horizon",103,62,65,7,7,19,68,11,12,12,138.5,83.4,128.8,85.6,74.4,18.853,172,"Quadrant 4"
"44",2024-11-04,"nc","Delaware","Bucknell","H","CAA","Patriot",73,85,64,8,14,18,55,6,16,27,93.4,108.7,100.5,119.3,78.2,5.10966,247,"Quadrant 4"
"45",2024-11-04,"nc","Butler","Missouri St.","H","Big East","Missouri Valley",72,65,47,13,19,28,67,16,13,10,106.6,96.3,104,101.8,67.5,2.36725,216,"Quadrant 4"
"46",2024-11-04,"nc","NJIT","Penn","H","America East","Ivy",57,58,54,8,12,13,49,12,11,35,88.5,90.1,84.5,92.2,64.4,8.37417,338,"Quadrant 4"
"47",2024-11-04,"nc","UCF","Texas A&M","H","Big 12","SEC",64,61,50,8,11,31,63,16,12,14,96,91.5,105.4,88.4,66.7,-4.90417,17,"Quadrant 1"
"48",2024-11-04,"nc","Coastal Carolina","Western Michigan","H","Sun Belt","Mid-American",60,56,47,4,12,15,52,9,8,28,94.9,88.6,93.2,90.1,63.2,6.26042,280,"Quadrant 4"
"49",2024-11-04,"nc","Marquette","Stony Brook","H","Big East","CAA",102,62,68,13,7,17,60,12,14,15,146.6,89.1,123.5,104.2,69.6,12.2494,339,"Quadrant 4"
"50",2024-11-04,"nc","Texas","Ohio St.","N","SEC","Big Ten",72,80,68,16,9,20,60,11,15,14,102,113.4,108.6,106.7,70.6,-7.25735,28,"Quadrant 1"
"51",2024-11-04,"nc","Georgia Southern","Northern Illinois","H","Sun Belt","Mid-American",80,65,64,10,15,12,58,11,19,17,107.5,87.4,101.5,99.4,74.4,10.7166,350,"Quadrant 4"
"52",2024-11-04,"nc","Virginia Tech","Delaware St.","H","ACC","MEAC",83,60,55,14,16,33,49,10,16,30,117,84.6,106.9,93.8,71,11.4364,299,"Quadrant 4"
"53",2024-11-04,"nc","Michigan St.","Monmouth","H","Big Ten","CAA",81,57,61,15,13,27,61,11,15,16,112.2,78.9,102.4,85.3,72.2,11.6886,277,"Quadrant 4"
"54",2024-11-04,"nc","Oregon","UC Riverside","H","Big Ten","Big West",91,76,66,15,8,25,65,8,8,12,128.6,107.4,126.6,112.2,70.8,7.01483,154,"Quadrant 3"
"55",2024-11-04,"nc","Villanova","Lafayette","H","Big East","Patriot",75,63,60,13,17,11,59,9,12,12,109.5,92,104.3,104.3,68.5,4.29992,276,"Quadrant 4"
"56",2024-11-04,"nc","Indiana St.","Florida Atlantic","N","Missouri Valley","American",64,97,64,9,21,14,61,7,16,27,77.4,117.2,78.8,107.9,82.7,-14.9647,104,"Quadrant 3"
"57",2024-11-04,"nc","Vanderbilt","Maryland Eastern Shore","H","SEC","MEAC",102,63,72,17,1,33,52,4,15,19,142,87.7,120.8,104.1,71.8,13.2188,357,"Quadrant 4"
"58",2024-11-04,"nc","Michigan","Cleveland St.","H","Big Ten","Horizon",101,53,57,10,16,22,70,20,21,11,135,70.8,127.3,83.6,74.8,18.2686,238,"Quadrant 4"
"59",2024-11-04,"nc","UNC Greensboro","Florida Gulf Coast","H","Southern","Atlantic Sun",73,64,61,12,7,20,58,7,8,11,112.5,98.7,109.9,97.5,64.9,6.93943,158,"Quadrant 3"
"60",2024-11-04,"nc","St. John's","Fordham","H","Big East","Atlantic 10",92,60,66,10,11,15,55,9,19,20,123.8,80.7,114.2,89.7,74.3,10.9264,251,"Quadrant 4"
"61",2024-11-04,"nc","Louisiana Lafayette","Kent St.","H","Sun Belt","Mid-American",66,70,49,4,11,21,50,12,16,28,99,105,108.3,110.7,66.6,2.70875,134,"Quadrant 3"
"62",2024-11-04,"nc","Cal Baptist","Incarnate Word","H","WAC","Southland",83,78,65,14,5,23,61,11,13,9,123.7,116.2,112,121.2,67.1,-3.85083,205,"Quadrant 4"
"63",2024-11-04,"nc","Valparaiso","Liberty","N","Missouri Valley","CUSA",63,83,63,12,8,21,59,5,6,13,93.2,122.8,103.3,118.2,67.6,-10.8512,67,"Quadrant 2"
"64",2024-11-04,"nc","Princeton","Iona","H","Ivy","Metro Atlantic",81,80,56,9,10,22,56,11,17,22,115.8,114.4,112.2,129.2,69.9,-3.89208,292,"Quadrant 4"
"65",2024-11-04,"nc","South Dakota St.","McNeese St.","N","Summit","Southland",80,73,61,12,16,16,59,8,11,27,108.5,99,117,95,73.7,3.03958,74,"Quadrant 2"
"66",2024-11-04,"nc","Temple","Sacred Heart","H","American","Metro Atlantic",81,70,55,7,16,23,68,15,16,11,108.6,93.9,99.3,99.6,74.6,0.852966,252,"Quadrant 4"
"67",2024-11-04,"nc","Oregon St.","Utah Tech","H","WCC","WAC",80,57,64,11,9,16,57,10,12,23,114.7,81.7,102,94.3,69.8,5.17813,289,"Quadrant 4"
"68",2024-11-04,"nc","Troy","Toledo","H","Sun Belt","Mid-American",84,74,67,12,12,13,69,12,11,17,112.6,99.2,107.2,97.5,74.6,8.42419,202,"Quadrant 4"
"69",2024-11-04,"nc","Northwestern","Lehigh","H","Big Ten","Patriot",90,46,66,13,8,14,53,6,12,18,133.1,68,123.4,73.3,67.6,24.7841,267,"Quadrant 4"
"70",2024-11-04,"nc","Saint Mary's","Towson","H","WCC","CAA",76,69,54,14,10,29,64,13,7,19,116.2,105.5,117,112.7,65.4,7.16794,235,"Quadrant 4"
"71",2024-11-04,"nc","Wisconsin","Holy Cross","H","Big Ten","Patriot",85,61,59,10,11,16,53,3,13,7,126.9,91.1,105.5,103.1,67,0.634304,250,"Quadrant 4"
"72",2024-11-04,"nc","Arizona","Canisius","H","Big 12","Metro Atlantic",93,64,68,17,9,27,51,5,19,13,129.2,88.9,112,92.6,72,20.1059,359,"Quadrant 4"
"73",2024-11-04,"nc","Saint Joseph's","Navy","H","Atlantic 10","Patriot",70,63,46,5,17,29,67,14,13,11,97.9,88.1,85.3,96.3,71.5,-4.48472,312,"Quadrant 4"
"74",2024-11-04,"nc","Air Force","North Alabama","H","Mountain West","Atlantic Sun",57,73,46,6,14,17,58,5,6,9,90.9,116.5,85.5,119,62.7,-15.396,143,"Quadrant 3"
"75",2024-11-04,"nc","Santa Clara","Saint Louis","N","WCC","Atlantic 10",85,78,66,15,12,20,61,9,17,10,116.2,106.7,113.5,101.2,73.1,4.14042,125,"Quadrant 3"
"76",2024-11-04,"nc","SMU","Tarleton St.","H","ACC","WAC",96,62,63,13,13,22,49,9,23,24,129.9,83.9,128,96.9,73.9,19.6425,316,"Quadrant 4"
"77",2024-11-04,"nc","Texas St.","Eastern Michigan","H","Sun Belt","Mid-American",64,44,48,9,14,21,58,14,14,15,99.9,68.7,91.8,73.5,64.1,12.0859,297,"Quadrant 4"
"78",2024-11-04,"nc","Syracuse","Le Moyne","H","ACC","Northeast",86,82,72,20,11,31,57,7,16,23,111.2,106,100.9,118.2,77.3,-1.32917,335,"Quadrant 4"
"79",2024-11-04,"nc","Nevada","Sam Houston St.","H","Mountain West","CUSA",91,75,53,11,12,31,57,9,11,21,132.2,108.9,118.9,106.8,68.8,5.62073,173,"Quadrant 4"
